coursecode,name,department,prereqcode,coreqcode
CAP 4641,Natural Language Processing,Computer & Info. Science & Eng.,COP 3530,
CAP 4730,Computational Structures in Computer Graphics,Computer & Info. Science & Eng.,COP 3530,
CAP 4770,Introduction to Data Science,Computer & Info. Science & Eng.,COP 3530,
CAP 4773,Projects Data Science,Computer & Info. Science & Eng.,CAP 4770,
CCE 4015,Civil Engineering Estimating,Civil & Coastal Engineering,CGN 4160,
CCE 4204,"Construction Equipment, Methods and Management",Civil & Coastal Engineering,,CGN 4101
CCE 4521C,Engineering and Construction Analytics using BIM,Civil & Coastal Engineering,EGM 2511,
CCE 4811,Construction Engineering Design,Civil & Coastal Engineering,CGN 4160; EIN 3354,
CDA 3101,Introduction to Computer Organization,Computer & Info. Science & Eng.,MAC 2233; MAC 2311; MAC 3472; COT 3100,
CDA 4102,Computer Architecture,Computer & Info. Science & Eng.,CDA 3101; COP 3530,
CDA 4324C,Cyber-physical System Security,Computer & Info. Science & Eng.,COP 3530,
CDA 4630,Embedded Systems,Computer & Info. Science & Eng.,CDA 3101,
CEG 4011,Soil Mechanics,Civil & Coastal Engineering,EGM 3520,
CEG 4012,Geotechnical Engineering,Civil & Coastal Engineering,CEG 4011,
CEG 4104,Retaining Wall and Embankment Design,Civil & Coastal Engineering,CEG 4012,
CEG 4111,Foundation Engineering Design,Civil & Coastal Engineering,CEG 4012,
CEN 3031,Introduction to Software Engineering,Computer & Info. Science & Eng.,COP 3530,
CEN 3913,Computer and Information Science and Engineering Design 1,Computer & Info. Science & Eng.,CEN 3031,
CEN 4072,Software Testing and Verification,Computer & Info. Science & Eng.,CEN 3031,
CEN 4721,Human-Computer Interaction,Computer & Info. Science & Eng.,COP 3530,
CEN 4722,User Experience Design,Computer & Info. Science & Eng.,COP 3530,
CEN 4725,Natural User Interaction,Computer & Info. Science & Eng.,COP 3530,
CEN 4730,Human-Centered Input Recognition Algorithms,Computer & Info. Science & Eng.,COP 3530,
CEN 4907C,Computer Engineering Design 1,Computer & Info. Science & Eng.,CEN 3031,COP 4600
CEN 4908C,Computer Engineering Design 2,Computer & Info. Science & Eng.,CEN 3907C,
CEN 4914,Computer and Information Science and Engineering Design 2,Computer & Info. Science & Eng.,CEN 3913,
CES 3102,Mechanics of Engineering Structures,Civil & Coastal Engineering,EGM 3520,
CES 4605,Analysis and Design in Steel,Civil & Coastal Engineering,CES 3102; CGN 3501C,
CES 4702,Analysis and Design in Reinforced Concrete,Civil & Coastal Engineering,CES 3102; CGN 3501C,
CGN 2002,Introduction to Civil Engineering,Civil & Coastal Engineering,,
CGN 2328,Technical Drawing and Visualization,Engineering (General),,
CGN 3421,Computer Methods in Civil Engineering,Civil & Coastal Engineering,COP 2271; COP 2273,
CGN 3501C,Civil Engineering Materials,Civil & Coastal Engineering,,EGM 3520
CGN 3510,Introduction to Sustainable Engineering,Civil & Coastal Engineering,,
CGN 3710,Experimentation and Instrumentation in Civil Engineering,Civil & Coastal Engineering,PHY 2049,
CGN 4101,Civil Engineering Cost Analysis,Civil & Coastal Engineering,,
CGN 4160,Civil Engineering Practice,Civil & Coastal Engineering,EGM 2511,CGN 2328
CGN 4304,Machine Learning Applications in Civil Engineering,Civil & Coastal Engineering,CGN 3421,
CGN 4404,Applied Data Science in Civil and Environmental Engineering,Civil & Coastal Engineering,CGN 3421; ENV 3040C,
CGN 4503,Pavement Design,Civil & Coastal Engineering,CGN 3501C,
CGN 4600,Public Works Engineering and Management Practices,Civil & Coastal Engineering,CGN 4160,
CGN 4806,Transportation-Water-Materials Design,Civil & Coastal Engineering,,
CGN 4851C,Concrete Mixture Design,Civil & Coastal Engineering,CGN 3501C,
CGN 4905,Special Problems in Civil Engineering,Civil & Coastal Engineering,,
CGN 4910,Structures-Geotechnical-Construction Comprehensive System Design,Civil & Coastal Engineering,,
CGN 4949,Co-op Work Experience,Civil & Coastal Engineering,,
CGS 2032,"Math, Art and Computing",Computer & Info. Science & Eng.,MAC 1147,
CGS 2531,Problem Solving Using Computer Software,Engineering (General),,
CGS 3063,Computers and Modern Society,Computer & Info. Science & Eng.,COP 3502C,
CGS 3065,Legal and Social Issues in Computing,Computer & Info. Science & Eng.,COP 3502C,
CGS 4144,Introduction to Bioinformatic Algorithms,Computer & Info. Science & Eng.,COT 3100; COP 3503C; COP 3504C,
CGS 4853C,Introduction to Web Development and Design,Computer & Info. Science & Eng.,COP 3502; COP 3503,
CIS 4204,Penetration Testing: Ethical Hacking,Computer & Info. Science & Eng.,COP 3530,
CIS 4213,Enterprise Security,Computer & Info. Science & Eng.,COP 3530,
CIS 4301,Information and Database Systems 1,Computer & Info. Science & Eng.,COT 3100,
CIS 4360,Computer and Information Security,Computer & Info. Science & Eng.,CDA 3101,
CIS 4362,Introduction to Cryptology,Computer & Info. Science & Eng.,COT 3100,
